"12:05A ","12:06A ","12:07A ","12:08A ","12:14A ","12:15A ","12:18A ","12:20A ","12:22A ","12:24A ","12:27A ","12:28A ","12:31A "
"12:35A ","12:36A ","——","12:38A ","12:44A ","12:45A ","12:48A ","12:50A ","12:52A ","12:54A ","12:57A ","12:58A ","1:01A "
"1:20A ","1:21A ","——","1:23A ","1:29A ","1:30A ","1:33A ","1:35A ","1:37A ","1:39A ","1:42A ","1:43A ","1:46A "
"2:05A ","2:06A ","——","2:08A ","2:14A ","2:15A ","2:18A ","2:20A ","2:22A ","2:24A ","2:27A ","2:28A ","2:31A "
"2:50A ","2:51A ","——","2:53A ","2:59A ","3:00A ","3:03A ","3:05A ","3:07A ","3:09A ","3:12A ","3:13A ","3:16A "
"3:35A ","3:36A ","——","3:38A ","3:44A ","3:45A ","3:48A ","3:50A ","3:52A ","3:54A ","3:57A ","3:58A ","4:01A "
"4:20A ","4:21A ","4:22A ","4:23A ","4:29A ","4:30A ","4:33A ","4:35A ","4:37A ","4:39A ","4:42A ","4:43A ","4:46A "
"5:03A ","5:04A ","5:05A ","5:06A ","5:12A ","5:13A ","5:16A ","5:18A ","5:20A ","5:22A ","5:25A ","5:26A ","5:29A "
"5:29A ","5:30A ","5:31A ","5:32A ","5:38A ","5:39A ","5:42A ","5:44A ","5:46A ","5:48A ","5:51A ","5:52A ","5:55A "
"5:45A ","5:46A ","5:47A ","5:48A ","5:54A ","5:55A ","5:58A ","6:00A ","6:02A ","6:04A ","6:07A ","6:08A ","6:11A "
"5:59A ","6:00A ","6:01A ","6:02A ","6:08A ","6:09A ","6:12A ","6:14A ","6:16A ","6:18A ","6:21A ","6:22A ","6:25A "
"6:14A ","6:15A ","6:16A ","6:17A ","6:23A ","6:24A ","6:27A ","6:29A ","6:31A ","6:33A ","6:36A ","6:37A ","6:40A "
"6:25A ","6:26A ","6:27A ","6:28A ","6:34A ","6:35A ","6:38A ","6:40A ","6:42A ","6:44A ","6:47A ","6:48A ","6:51A "
"6:38A ","6:39A ","6:40A ","6:41A ","6:47A ","6:48A ","6:51A ","6:53A ","6:55A ","6:57A ","7:00A ","7:01A ","7:04A "
"6:50A ","6:51A ","6:52A ","6:53A ","6:59A ","7:00A ","7:03A ","7:05A ","7:07A ","7:09A ","7:12A ","7:13A ","7:16A "
"6:59A ","7:00A ","7:01A ","7:02A ","7:08A ","7:09A ","7:12A ","7:14A ","7:16A ","7:18A ","7:21A ","7:22A ","7:25A "
"7:09A ","7:10A ","7:11A ","7:12A ","7:18A ","7:19A ","7:22A ","7:24A ","7:26A ","7:28A ","7:31A ","7:32A ","7:35A "
"7:18A ","7:19A ","7:20A ","7:21A ","7:27A ","7:28A ","7:31A ","7:33A ","7:35A ","7:37A ","7:40A ","7:41A ","7:44A "
"7:25A ","7:26A ","7:27A ","7:28A ","7:34A ","7:35A ","7:38A ","7:40A ","7:42A ","7:44A ","7:47A ","7:48A ","7:51A "
"7:41A ","7:42A ","7:43A ","7:44A ","7:50A ","7:51A ","7:54A ","7:56A ","7:58A ","8:00A ","8:03A ","8:04A ","8:07A "
"7:56A ","7:57A ","7:58A ","7:59A ","8:05A ","8:06A ","8:09A ","8:11A ","8:13A ","8:15A ","8:18A ","8:19A ","8:22A "
"8:03A ","8:04A ","8:05A ","8:06A ","8:12A ","8:13A ","8:16A ","8:18A ","8:20A ","8:22A ","8:25A ","8:26A ","8:29A "
"8:11A ","8:12A ","8:13A ","8:14A ","8:20A ","8:21A ","8:24A ","8:26A ","8:28A ","8:30A ","8:33A ","8:34A ","8:37A "
"8:20A ","8:21A ","8:22A ","8:23A ","8:29A ","8:30A ","8:33A ","8:35A ","8:37A ","8:39A ","8:42A ","8:43A ","8:46A "
"8:27A ","8:28A ","8:29A ","8:30A ","8:36A ","8:37A ","8:40A ","8:42A ","8:44A ","8:46A ","8:49A ","8:50A ","8:53A "
"8:34A ","8:35A ","8:36A ","8:37A ","8:43A ","8:44A ","8:47A ","8:49A ","8:51A ","8:53A ","8:56A ","8:57A ","9:00A "
"8:42A ","8:43A ","8:44A ","8:45A ","8:51A ","8:52A ","8:55A ","8:57A ","8:59A ","9:01A ","9:04A ","9:05A ","9:08A "
"8:53A ","8:54A ","8:55A ","8:56A ","9:02A ","9:03A ","9:06A ","9:08A ","9:10A ","9:12A ","9:15A ","9:16A ","9:19A "
"9:05A ","9:06A ","9:07A ","9:08A ","9:14A ","9:15A ","9:18A ","9:20A ","9:22A ","9:24A ","9:27A ","9:28A ","9:31A "
"9:20A ","9:21A ","9:22A ","9:23A ","9:29A ","9:30A ","9:33A ","9:35A ","9:37A ","9:39A ","9:42A ","9:43A ","9:46A "
"9:50A ","9:51A ","9:52A ","9:54A ","10:00A ","10:02A ","10:05A ","10:07A ","10:09A ","10:11A ","10:14A ","10:15A ","10:18A "
"10:16A ","10:17A ","10:18A ","10:20A ","10:26A ","10:28A ","10:31A ","10:33A ","10:35A ","10:37A ","10:40A ","10:41A ","10:44A "
"10:42A ","10:43A ","10:44A ","10:46A ","10:52A ","10:54A ","10:57A ","10:59A ","11:01A ","11:03A ","11:06A ","11:07A ","11:10A "
"11:08A ","11:09A ","11:10A ","11:12A ","11:18A ","11:20A ","11:23A ","11:25A ","11:27A ","11:29A ","11:32A ","11:33A ","11:36A "
"11:34A ","11:35A ","11:36A ","11:38A ","11:44A ","11:46A ","11:49A ","11:51A ","11:53A ","11:55A ","11:58A ","11:59A ","12:02P "
"12:00P ","12:01P ","12:02P ","12:04P ","12:10P ","12:12P ","12:15P ","12:17P ","12:19P ","12:21P ","12:24P ","12:25P ","12:28P "
"12:26P ","12:27P ","12:28P ","12:30P ","12:36P ","12:38P ","12:41P ","12:43P ","12:45P ","12:47P ","12:50P ","12:51P ","12:54P "
"12:52P ","12:53P ","12:54P ","12:56P ","1:02P ","1:04P ","1:07P ","1:09P ","1:11P ","1:13P ","1:16P ","1:17P ","1:20P "
"1:18P ","1:19P ","1:20P ","1:22P ","1:28P ","1:30P ","1:33P ","1:35P ","1:37P ","1:39P ","1:42P ","1:43P ","1:46P "
"1:44P ","1:45P ","1:46P ","1:48P ","1:54P ","1:56P ","1:59P ","2:01P ","2:03P ","2:05P ","2:08P ","2:09P ","2:12P "
"2:10P ","2:11P ","2:12P ","2:14P ","2:20P ","2:22P ","2:25P ","2:27P ","2:29P ","2:31P ","2:34P ","2:35P ","2:38P "
"2:36P ","2:37P ","2:38P ","2:40P ","2:46P ","2:48P ","2:51P ","2:53P ","2:55P ","2:57P ","3:00P ","3:01P ","3:04P "
"3:02P ","3:03P ","3:04P ","3:06P ","3:12P ","3:14P ","3:17P ","3:19P ","3:21P ","3:23P ","3:26P ","3:27P ","3:30P "
"3:27P ","3:28P ","3:29P ","3:31P ","3:37P ","3:39P ","3:42P ","3:44P ","3:46P ","3:48P ","3:51P ","3:52P ","3:55P "
"3:52P ","3:53P ","3:54P ","3:56P ","4:02P ","4:04P ","4:08P ","4:11P ","4:13P ","4:15P ","4:18P ","4:19P ","4:22P "
"4:17P ","4:18P ","4:19P ","4:21P ","4:27P ","4:29P ","4:33P ","4:36P ","4:38P ","4:40P ","4:43P ","4:44P ","4:47P "
